run_id,timestamp,config_hash,code_version,success,duration_min,output_folder,n_presences,n_background,n_predictors,notes
RUN_20260223_195001_2356,2026-02-23 19:50:01,2901fcbe044f553026501bc83d0ac3fa,2.0-minimal,TRUE,0.003,04_outputs/runs/RUN_20260223_195001_2356,82684,NA,NA,"bootstrap_validation_only"
RUN_20260223_195322_691b,2026-02-23 19:53:47,2901fcbe044f553026501bc83d0ac3fa,2.0-minimal,TRUE,0.008,04_outputs/runs/RUN_20260223_195322_691b,150,10000,NA,"processed_data_generated"
RUN_20260223_200038_62e4,2026-02-23 20:01:08,2901fcbe044f553026501bc83d0ac3fa,2.0-minimal,TRUE,0.041,04_outputs/runs/RUN_20260223_200038_62e4,150,10000,6,"processed_data_and_glm_generated"
RUN_20260223_200920_30be,2026-02-23 20:10:28,86b55a6b3f080e8e9e24023ce37a4b09,2.0-minimal,TRUE,1.131,04_outputs/runs/RUN_20260223_200920_30be,150,10000,6,"processed_data_and_glm_generated;future=6"
RUN_20260224_110340_b990,2026-02-24 11:04:17,52a585d27f64eab6e3f8d12f0c94c089,2.0-ensemble,FALSE,0.593,04_outputs/runs/RUN_20260224_110340_b990,NA,NA,NA,"Loop 2 is not valid: Edge 1065 is degenerate (duplicate vertex)"
RUN_20260224_110612_b990,2026-02-24 11:06:43,52a585d27f64eab6e3f8d12f0c94c089,2.0-ensemble,FALSE,0.518,04_outputs/runs/RUN_20260224_110612_b990,NA,NA,NA,"no applicable method for 'st_as_sfc' applied to an object of class 'c('sfc_POLYGON', 'sfc')'"
RUN_20260224_110700_b990,2026-02-24 11:08:31,52a585d27f64eab6e3f8d12f0c94c089,2.0-ensemble,FALSE,1.524,04_outputs/runs/RUN_20260224_110700_b990,62,NA,NA,"cannot open the connection"
RUN_20260224_110910_b990,2026-02-24 11:10:06,52a585d27f64eab6e3f8d12f0c94c089,2.0-ensemble,FALSE,0.932,04_outputs/runs/RUN_20260224_110910_b990,62,NA,NA,"Cannot open '04_outputs\runs\RUN_20260224_110910_b990\02_data_intermediate\m_area_vector.gpkg'; The source could be corrupt or not supported. See `st_drivers()` for a list of supported formats."
RUN_20260224_111026_b990,2026-02-24 11:19:45,52a585d27f64eab6e3f8d12f0c94c089,2.0-ensemble,TRUE,9.321,04_outputs/runs/RUN_20260224_111026_b990,62,6632,8,"success"
RUN_20260224_113154_b990,2026-02-24 11:36:00,52a585d27f64eab6e3f8d12f0c94c089,2.0-ensemble,TRUE,4.105,04_outputs/runs/RUN_20260224_113154_b990,62,6632,8,"success"
RUN_20260224_113641_b990,2026-02-24 11:37:17,52a585d27f64eab6e3f8d12f0c94c089,2.0-ensemble,FALSE,0.604,04_outputs/runs/RUN_20260224_113641_b990,NA,NA,NA,"Vector artifact unreadable: m_area_vector.gpkg"
RUN_20260224_113826_b990,2026-02-24 11:39:50,52a585d27f64eab6e3f8d12f0c94c089,2.0-ensemble,FALSE,1.396,04_outputs/runs/RUN_20260224_113826_b990,62,6632,NA,"undefined columns selected"
RUN_20260224_114149_b990,2026-02-24 11:42:53,52a585d27f64eab6e3f8d12f0c94c089,2.0-ensemble,FALSE,1.075,04_outputs/runs/RUN_20260224_114149_b990,62,6632,NA,"No predictors remain after collinearity and merge"
RUN_20260224_114314_b990,2026-02-24 11:44:13,52a585d27f64eab6e3f8d12f0c94c089,2.0-ensemble,FALSE,0.993,04_outputs/runs/RUN_20260224_114314_b990,62,6632,NA,"No predictors remain after collinearity and merge"
RUN_20260224_114444_b990,2026-02-24 11:46:12,52a585d27f64eab6e3f8d12f0c94c089,2.0-ensemble,FALSE,1.469,04_outputs/runs/RUN_20260224_114444_b990,62,6632,NA,"invalid subscript type 'list'"
RUN_20260224_114910_b990,2026-02-24 11:50:29,52a585d27f64eab6e3f8d12f0c94c089,2.0-ensemble,FALSE,1.312,04_outputs/runs/RUN_20260224_114910_b990,62,6632,NA,"invalid subscript type 'list'"
RUN_20260224_115145_b990,2026-02-24 11:53:10,52a585d27f64eab6e3f8d12f0c94c089,2.0-ensemble,FALSE,1.402,04_outputs/runs/RUN_20260224_115145_b990,62,6632,NA,"invalid subscript type 'list'"
RUN_20260224_115714_b990,2026-02-24 11:59:03,52a585d27f64eab6e3f8d12f0c94c089,2.0-ensemble,FALSE,1.811,04_outputs/runs/RUN_20260224_115714_b990,62,6632,8,"no applicable method for 'predict' applied to an object of class 'function'"
RUN_20260224_115946_b990,2026-02-24 12:02:01,52a585d27f64eab6e3f8d12f0c94c089,2.0-ensemble,FALSE,2.251,04_outputs/runs/RUN_20260224_115946_b990,62,6632,8,"[names<-] incorrect number of names"
RUN_20260224_120251_b990,2026-02-24 12:10:09,52a585d27f64eab6e3f8d12f0c94c089,2.0-ensemble,TRUE,7.308,04_outputs/runs/RUN_20260224_120251_b990,62,6632,8,"success"
RUN_20260225_100309_b990,2026-02-25 10:03:49,ebd1a9a60859c5815754f0ba38c23d86,2.0-ensemble,FALSE,0.674,04_outputs/runs/RUN_20260225_100309_b990,NA,NA,NA,"Phase 1 artifact missing: template_grid.tif"
RUN_20260225_100425_b990,2026-02-25 10:04:56,ebd1a9a60859c5815754f0ba38c23d86,2.0-ensemble,FALSE,0.51,04_outputs/runs/RUN_20260225_100425_b990,NA,NA,NA,"cannot transform sfc object with missing crs"
RUN_20260225_100957_b990,2026-02-25 10:10:43,ebd1a9a60859c5815754f0ba38c23d86,2.0-ensemble,FALSE,0.77,04_outputs/runs/RUN_20260225_100957_b990,NA,NA,NA,"AOI file not found"
